Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Action, Crime",en,2022-02-07,6.2,puts;priceless;batwoman,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,refuses;objector;okinawa,Hacksaw Ridge
"Action",zh,2021-05-06,7.3,no;dies;never,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,wizardry;potter;learns,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,threatens;pull;team,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,strange;looking;soldiers,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,lost;forest;sara,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,lease;under;wing,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,taking;inspires;myers,Halloween Kills
"Horror",en,2022-02-10,5.6,priest;opportunity;considered,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,agree;trip;nick,Spider-Man: Far From Home
"Documentary",en,2022-01-01,8.0,enchanting;fans;first-person,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,hardin;herself;faces,After We Collided
"Thriller",en,2022-02-17,5.8,child;police;due,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,sorbet;tagoma;day,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,shape;guys;intelligence,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,chilling;occurred;others,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,witches;mexico;cross,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,learning;join;trapped,The Maze Runner
"Horror",en,2021-03-31,6.8,phenomena;inexplicably;miracles,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,peninsula;day;try,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,heart;prodigy;navigates,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,vivien;student;involved,Time Is Up
"Horror",en,2021-06-30,6.5,house;lake;oxygen,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,passion;possesses;same,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,danger;opened;year,Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,best;tells;sonic,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,charming;following;set,Coco
