Timestamp,Id,Evento,Usuarie,Estado,Texto Ingresado,Respuesta,Nivel,Genero,Dataset
1655657604,8y5fbud5-mgvi-2dm5-626haeayqm3ro44h,intento,Juan,error,Lago Puelo,Lago Falkner,Media,Masculino,Lagos
1655657606,8y5fbud5-mgvi-2dm5-626haeayqm3ro44h,intento,Juan,error,Lago General Vintter,Lago Gutiérrez,Media,Masculino,Lagos
1655657607,8y5fbud5-mgvi-2dm5-626haeayqm3ro44h,fin,Juan,finalizada,-,-,Media,Masculino,Lagos
1655689736,2vh8oiho-t0o7-28cw-h7l0ri6mi66qs9wq,inicio_partida,Luqita,-,-,-,Dificil,Otro,Peliculas
1655689752,2vh8oiho-t0o7-28cw-h7l0ri6mi66qs9wq,intento,Luqita,timeout,-,El Siete Machos,Dificil,Otro,Peliculas
1655689763,2vh8oiho-t0o7-28cw-h7l0ri6mi66qs9wq,intento,Luqita,error,God of War,Immortals,Dificil,Otro,Peliculas
1655689772,2vh8oiho-t0o7-28cw-h7l0ri6mi66qs9wq,intento,Luqita,error,Meet the Parents,The Descendants,Dificil,Otro,Peliculas
1655689780,2vh8oiho-t0o7-28cw-h7l0ri6mi66qs9wq,intento,Luqita,ok,The Forever Purge,The Forever Purge,Dificil,Otro,Peliculas
1655689788,2vh8oiho-t0o7-28cw-h7l0ri6mi66qs9wq,intento,Luqita,error,Live by Night,Bring the Soul: The Movie,Dificil,Otro,Peliculas
1655689791,2vh8oiho-t0o7-28cw-h7l0ri6mi66qs9wq,fin,Luqita,finalizada,-,-,Dificil,Otro,Peliculas
1655745760,z1mfcjg1-x140-1vx0-6v3sxfqv54hka6ny,inicio_partida,Tebi,-,-,-,Dificil,Transgenero,Peliculas
1655745777,z1mfcjg1-x140-1vx0-6v3sxfqv54hka6ny,intento,Tebi,timeout,-,Sexo contra sexo,Dificil,Transgenero,Peliculas
1655745794,z1mfcjg1-x140-1vx0-6v3sxfqv54hka6ny,intento,Tebi,timeout,-,Mobile Suit Gundam: Char's Counterattack,Dificil,Transgenero,Peliculas
1655745812,z1mfcjg1-x140-1vx0-6v3sxfqv54hka6ny,intento,Tebi,timeout,-,The Final,Dificil,Transgenero,Peliculas
1655745813,z1mfcjg1-x140-1vx0-6v3sxfqv54hka6ny,intento,Tebi,ok,The Hunt,The Hunt,Dificil,Transgenero,Peliculas
1655745817,z1mfcjg1-x140-1vx0-6v3sxfqv54hka6ny,fin,Tebi,finalizada,-,-,Dificil,Transgenero,Peliculas
1655745869,3ga76y5j-ov6m-j4z6-47pz2tmbqeufhbub,inicio_partida,Tebi,-,-,-,Dificil,Transgenero,Peliculas
1655745875,3ga76y5j-ov6m-j4z6-47pz2tmbqeufhbub,fin,Tebi,cancelada,-,The Captain,Dificil,Transgenero,Peliculas
1655753955,9av2jsym-u060-w950-gx3jd3ui7kr27myi,inicio_partida,Tebi,-,-,-,Facil,Transgenero,Peliculas
1655753958,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,Private Valentine: Blonde & Dangerous,E.T. the Extra-Terrestrial,Facil,Transgenero,Peliculas
1655753960,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,Rolling to You,The Northman,Facil,Transgenero,Peliculas
1655753962,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,Cats,Messi,Facil,Transgenero,Peliculas
1655753964,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,AEW Revolution,The Dukes of Hazzard,Facil,Transgenero,Peliculas
1655753970,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,Legend,Collateral Damage,Facil,Transgenero,Peliculas
1655753972,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,War Dogs,King Kong vs. Godzilla,Facil,Transgenero,Peliculas
1655753973,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,The Virgin Suicides,Grumpy Christmas,Facil,Transgenero,Peliculas
1655753975,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,Curious George: A Very Monkey Christmas,Pollyanna,Facil,Transgenero,Peliculas
1655753977,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,Tales of Halloween,Premium Rush,Facil,Transgenero,Peliculas
1655753978,9av2jsym-u060-w950-gx3jd3ui7kr27myi,intento,Tebi,error,Class,The Taking of Pelham 1 2 3,Facil,Transgenero,Peliculas
1655753979,9av2jsym-u060-w950-gx3jd3ui7kr27myi,fin,Tebi,finalizada,-,-,Facil,Transgenero,Peliculas
1655754116,o0bzhxzx-y97v-4udt-wmzww5oe3rz51d7b,inicio_partida,Luqita,-,-,-,Dificil,Otro,Peliculas
1655754117,o0bzhxzx-y97v-4udt-wmzww5oe3rz51d7b,intento,Luqita,error,Death Note: The Last Name,Up and Away,Dificil,Otro,Peliculas
1655754119,o0bzhxzx-y97v-4udt-wmzww5oe3rz51d7b,intento,Luqita,error,Best Sellers,Ghost in the Shell: The New Movie,Dificil,Otro,Peliculas
1655754120,o0bzhxzx-y97v-4udt-wmzww5oe3rz51d7b,intento,Luqita,error,Police Story 2,I'm Gonna Git You Sucka,Dificil,Otro,Peliculas
1655754122,o0bzhxzx-y97v-4udt-wmzww5oe3rz51d7b,intento,Luqita,ok,Guns Akimbo,Guns Akimbo,Dificil,Otro,Peliculas
1655754124,o0bzhxzx-y97v-4udt-wmzww5oe3rz51d7b,intento,Luqita,error,Scarface,Gotti,Dificil,Otro,Peliculas
1655754125,o0bzhxzx-y97v-4udt-wmzww5oe3rz51d7b,fin,Luqita,finalizada,-,-,Dificil,Otro,Peliculas
1655754136,0624q1gy-44ch-xp7b-xtn99yupi88agaer,inicio_partida,Luqita,-,-,-,Facil,Otro,Peliculas
