Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Action, Science Fiction, Adventure,en,2021-07-02,8.0,civilians;message;mankind,The Tomorrow War
Family, Comedy,en,2022-01-28,6.9,reconnecting;goes;coaching,Home Team
Drama,en,2021-03-17,7.4,feels;vada;form,The Fallout
Family, Fantasy, Animation, Action, Adventure,en,2021-03-03,8.0,legendary;last;dragons,Raya and the Last Dragon
Science Fiction, Action, Thriller,en,2021-09-09,6.8,never;themselves;rescue,Infinite
Action, Crime, Thriller,en,2021-04-22,7.7,during;crew;truck,Wrath of Man
Crime, Action, Thriller,en,2021-12-17,6.2,balzary;officers;revolves,Fortress
Family, Animation, Comedy, Science Fiction,en,2021-07-08,7.1,dom;gang;son,Space Jam: A New Legacy
TV Movie, Mystery, Thriller, Comedy,es,2022-01-13,7.3,case;former;leave,Laura y el misterio del asesino inesperado
Horror, Mystery, Thriller,en,2021-05-25,7.7,sensational;mark;anything,The Conjuring: The Devil Made Me Do It
Action, Crime, Drama,en,2005-06-10,7.7,tragedy;corruption;batman,Batman Begins
Romance, Comedy,en,2022-01-20,6.8,prince;prince;duty,The Royal Treatment
Animation, Comedy, Family, Fantasy,en,2021-11-12,7.5,away;said;than,Ciao Alberto
TV Movie, Thriller, Crime,en,2021-06-05,7.8,dulos;connecticut;mysteriously,Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,forces;horrific;examiner,Ripper Untold
Horror, Science Fiction, Drama, Thriller,fr,2021-05-26,6.1,how;daughter…;countdown,Meander
Thriller, War,en,2021-11-18,5.3,bits;streets;darkened,Zeros and Ones
Action, Adventure,en,2021-07-22,6.8,ways;even;heir,Snake Eyes: G.I. Joe Origins
Action, Thriller, Crime,en,2021-10-08,5.8,gone;heroes;wrong,Survive the Game
Animation, Fantasy, Music, Adventure, Comedy, Family,en,2021-05-28,5.2,named;journey;whelan’s,Riverdance: The Animated Adventure
Action, Thriller, Science Fiction,en,2021-11-12,5.4,didn’t;ex-cop;island,Apex
Documentary, Crime,en,2022-02-02,7.1,some;payback;then,The Tinder Swindler
Romance, Comedy,tr,2022-02-11,6.7,head;heels;tactics,Love Tactics
Animation, Adventure, Comedy, Family,en,2021-10-01,7.2,run-ins;themselves;hilarious,The Addams Family 2
Action, Adventure, Fantasy,cn,2021-04-27,6.5,turbulent;court;late,Dynasty Warriors
Animation, Comedy, Family, Adventure,fr,2021-05-15,7.9,marinette;arriving;shanghai,Miraculous World: Shanghai – The Legend of Ladydragon
Animation, Family, Comedy, Adventure, TV Movie,fr,2020-11-21,8.3,trip;states;super-villain,Miraculous World: New York, United HeroeZ
Documentary,en,2022-03-03,6.9,worsening;dry;rely,Surviving Paradise: A Family Tale
Animation, Action, Fantasy, Adventure,ja,2019-12-20,8.4,questions;had;citizens,My Hero Academia: Heroes Rising
War, History, Drama,en,2021-11-04,6.5,utilize;kingdom;based,Amina
Adventure, Drama,en,2021-12-03,6.4,behind;goes;unhuman,Encounter
Horror, Thriller,en,2021-08-06,6.0,contracts;boy;go,Son
Action, Adventure, Fantasy,en,2020-12-16,6.6,puts;powers;jeopardy,Wonder Woman 1984
Action, Adventure, Fantasy,en,2014-04-16,6.5,gwen;person;busy,The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,hole;stumble;siblings,The Whole Truth
Animation, Action, Crime,en,2022-02-07,6.2,jewel;batwoman;villains,Catwoman: Hunted
Drama, History, War,en,2016-10-07,8.2,during;okinawa;objector,Hacksaw Ridge
Action,zh,2021-05-06,7.3,fight;friend;champion,Crazy Fist
Adventure, Fantasy,en,2001-11-16,7.9,who's;deaths—and;powerful,Harry Potter and the Philosopher's Stone
Science Fiction, Action, Adventure,en,2012-04-25,7.7,peacekeeping;team;nick,The Avengers
Horror, Fantasy, Mystery,en,2021-06-15,6.1,strange;wales;looking,Dragon Fury
Horror, Drama,es,2021-07-29,5.1,decide;cabin;couple,Tarumama
Action, Adventure, Fantasy, Science Fiction,en,2016-10-25,7.4,surgeon;brilliant;lease,Doctor Strange
Horror, Thriller,en,2021-10-14,6.8,vigilante;continue;hospital,Halloween Kills
Horror,en,2022-02-10,5.6,priest;however;gets,The Exorcism of God
Action, Adventure, Science Fiction,en,2019-06-28,7.5,uncover;parker;mystery,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,making-of;franchises;conversations,Harry Potter 20th Anniversary: Return to Hogwarts
Romance, Drama,en,2020-09-02,7.3,herself;faces;change,After We Collided
Thriller,en,2022-02-17,5.8,due;incident;police,The Desperate Hour
Action, Animation, Science Fiction,ja,2015-04-18,6.8,balls;subsequently;arrive,Dragon Ball Z: Resurrection 'F'
Animation, Family, Comedy,en,2021-10-28,7.1,little;team;sharks,Seal Team
Action, Mystery, Science Fiction, Thriller,en,2009-03-19,6.1,events;others;lead,Knowing
Fantasy, Horror, Thriller, Drama,en,2021-10-01,7.2,witchcraft;enforcement;face,Witch Hunt
Action, Mystery, Science Fiction, Thriller,en,2014-09-10,7.2,thomas;community;forces,The Maze Runner
Horror,en,2021-03-31,6.8,starts;alice;flock,The Unholy
Action, Adventure, Thriller,ko,2019-12-19,6.6,korean;unlikely;peninsula,Ashfall
Drama, Romance, Music,en,2022-02-11,5.8,imagination;lennie;devastated,The Sky Is Everywhere
Romance, Drama,en,2021-09-09,6.2,accomplished;physics;passion,Time Is Up
Horror,en,2021-06-30,6.5,initially;waters;oxygen,The Deep House
Animation, Action, Comedy,ja,2015-08-07,7.7,requests;damper;spirited,Boruto: Naruto the Movie
Adventure, Fantasy,en,2002-11-13,7.7,comes;trees;second,Harry Potter and the Chamber of Secrets
Action, Science Fiction, Comedy, Family,en,2020-02-12,7.4,tells;earth;evil,Sonic the Hedgehog
Family, Animation, Fantasy, Music, Comedy, Adventure,en,2017-10-27,8.2,miguel's;journey;trickster,Coco
Drama,fr,2017-06-21,6.0,than;decides;best,Ava
